model,layer,expert_i,expert_j,comparison,category,same_group_a0,same_group_a05,same_group_a1,hc_mean_l2,hc_mean_rel_l2,coactivation_rate,routing_jaccard,active_union_rel_l2,corouted_rel_l2,num_union_tokens,num_corouted_tokens
qwen,0,3,16,0_vs_05,hybrid_only_vs_hc,False,True,False,0.25555744767189026,1.4075987339019775,0.00225830078125,0.017185322805387832,1.4702143755503936,1.4435304177773964,2153,37
qwen,0,3,18,05_vs_1,routing_only,False,False,True,0.6747980117797852,1.4918532371520996,0.009033203125,0.06761078117862038,1.4453317756356578,1.4290824838586755,2189,148
qwen,0,3,20,05_vs_1,shared_05_1,False,True,True,0.32311540842056274,1.3041743040084839,0.00494384765625,0.03503460207612457,1.4368933527939873,1.3759778899911008,2312,81
qwen,0,3,20,0_vs_05,hybrid_only_vs_hc,False,True,True,0.32311540842056274,1.3041743040084839,0.00494384765625,0.03503460207612457,1.4368933527939873,1.3759778899911008,2312,81
qwen,0,3,23,05_vs_1,hybrid_only_vs_routing,False,True,False,0.28964343667030334,1.2772541046142578,0.0030517578125,0.02068680182043856,1.4298055512282688,1.413342776298523,2417,50
qwen,0,3,23,0_vs_05,hybrid_only_vs_hc,False,True,False,0.28964343667030334,1.2772541046142578,0.0030517578125,0.02068680182043856,1.4298055512282688,1.413342776298523,2417,50
qwen,0,3,24,05_vs_1,shared_05_1,False,True,True,0.2633361518383026,1.4009015560150146,0.00872802734375,0.06453068592057762,1.4778489687812888,1.5175453416117421,2216,143
qwen,0,3,24,0_vs_05,hybrid_only_vs_hc,False,True,True,0.2633361518383026,1.4009015560150146,0.00872802734375,0.06453068592057762,1.4778489687812888,1.5175453416117421,2216,143
qwen,0,3,26,05_vs_1,routing_only,False,False,True,0.47079673409461975,1.3532390594482422,0.00628662109375,0.04565602836879433,1.425603022389378,1.388606287900684,2256,103
qwen,0,3,28,05_vs_1,shared_05_1,False,True,True,0.34665220975875854,1.259535312652588,0.00592041015625,0.03986847513357994,1.4335660177937173,1.409596586964794,2433,97
qwen,0,3,28,0_vs_05,hybrid_only_vs_hc,False,True,True,0.34665220975875854,1.259535312652588,0.00592041015625,0.03986847513357994,1.4335660177937173,1.409596586964794,2433,97
qwen,0,3,29,05_vs_1,hybrid_only_vs_routing,False,True,False,0.2653428912162781,1.4298861026763916,0.00384521484375,0.0274032187907786,1.4706524371478598,1.4917925766536169,2299,63
